id,act,tier,start_tc,end_tc,duration_s,speech_ratio,text,reason
K001,0,MUST,00:46:31:06,00:47:02:11,31.24,0.56,"I hope you have insurance. And please don't sue us. There's always, always. Don't sue us. Don't sue us. The thing is, I'm heavier than you. Yeah, but she's national champ. Oh. Nice job. There you go.…","Cold open: 'I hope you have insurance. And please don't sue us' then a judo throw at a golf tournament - a surprise that raises the question the video answers. Used here only, not repeated in act 4."
X001,1,CUT,00:00:00:00,00:00:03:06,3.24,0.0,(no dialogue),Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K010,1,MUST,00:00:03:06,00:00:18:11,15.24,0.52,"What's up? It's Kumar. Kumar. Defender! We were late. Hey! Oh, we're late cause Kumar was hungry. We had to get some bamboo and feed him a bit.",Arrival beat and the premise in one line: they are late because Kumar the mascot 'was hungry' and had to be fed bamboo. Establishes the tone immediately.
X002,1,CUT,00:00:18:11,00:02:14:19,116.44,0.57,"What's up? Run! How are you doing? Good to see you. And let me. Yeah. No, no. Did you have the table and everything and everything set up for you guys? Awesome. It's close, but I don't know where it…","Arrival logistics with course staff - where to park, which cart, how to reach hole 12. All of it is visible on screen or re-explained in the speech."
K011,1,OPTIONAL,00:02:14:19,00:02:25:18,10.96,0.78,"Yeah. And then we'll go there at one. I don't speak golf either. Where'd you get this? Which one? This. Oh, Elizabeth. I was getting confused between car and cart.","'I don't speak golf either' / 'I was getting confused between car and cart' - light personality, but the surrounding logistics are already visible on screen."
X003,1,CUT,00:02:25:18,00:02:28:03,2.4,0.82,"Yeah. Okay, you guys are gonna get out there.",Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K012,1,SHOULD,00:02:28:03,00:02:35:19,7.68,0.91,"You gotta get ready for speech here. Yes! Go go go. Yes! We need Remy here. I don't know where the speech is. Do you have it? I have it, yeah, I have it. Perfect. I've been practicing.","Sets up the speech and the nerves: 'You gotta get ready for speech here' / 'I've been practicing. I'm not great, but.'"
G001,1,OPTIONAL,00:02:37:04,00:02:46:15,9.48,0.0,(no dialogue),"possible visual moment, needs human review"
X004,1,CUT,00:02:46:15,00:03:00:10,13.8,0.66,"Weird. Okay, okay. Otoshi otoshi. Number one. Okay, so we'll do the speech and then some. I mean, we're not going.",Dead air and crosstalk while the speech is being found. Nothing said.
K013,1,MUST,00:03:00:10,00:03:44:00,43.64,0.85,"Don't like doing this. Okay. All right. Can I get everyone's attention, please? From the premium golf tournament? Okay. So few information. Is everybody listening? All right. Sounds good. So thank yo…","The plan / the public start. 'Don't like doing this' then the opening of the speech - who he is, 'I'll be taking your worst shots', and that this is Premium's first ever golf event."
X005,1,CUT,00:03:44:00,00:03:46:19,2.8,0.28,Yeah yeah.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K014,1,SHOULD,00:03:46:19,00:04:22:04,35.4,0.94,So if you don't know us premium Group is a multi division subcontractor working across caulking fire stopping fireproofing and drywall. So for trades one team and honestly getting all our divisions o…,"New information the viewer needs: what Premium Group actually does, 'the biggest coordination win in our company's history', and that it is NOT a shotgun start - the problem that pays off at dinner."
X006,1,CUT,00:04:22:04,00:04:26:07,4.12,0.5,So anything else?,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K015,1,SHOULD,00:04:26:07,00:04:40:23,14.68,0.93,"We're having a dinner at the end of it. Yes. Afterwards we're going to have dinner and we'll hang out. So, you know, stick around and we'll see who has who deserves bragging rights at the end of this…",Dinner and bragging rights are promised - sets the expectation for the final act. 'May the best team win.'
X007,1,CUT,00:04:40:23,00:04:48:09,7.44,0.47,Yes you're right. Sorry we had to adjust this morning.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K016,1,OPTIONAL,00:04:48:09,00:05:19:02,30.72,0.87,"So just a few quick reminders. So following every shot, of course. Take the best ball out of the four to keep a good pace. No more than two putts. And if your ball ends out of bounds, don't waste too…",Rules and contests. Useful information but logistics-heavy and partly re-explained at 18:05.
X008,1,CUT,00:05:19:02,00:05:34:03,15.04,0.41,And we sorry. I'm trying to find for the tens. Yeah sorry.,"Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
K017,1,MUST,00:05:34:03,00:05:57:04,23.08,0.84,We got we got premium tense at hole for hole eight and hole 16. We also have a otoshi judo club tent at hole 12. So come say hi to us to win a chance to win a few more raffle tickets. And at the end…,Plants the judo club tent at hole 12 and raffle tickets - the single line that sets up the whole centre of the video.
X009,1,CUT,00:05:57:04,00:06:19:04,22.03,0.31,"Yeah I got lost in there to cut a few, cut a few parts, but. All right. Yeah. First you're the very last one right there. Yeah okay okay. But. Breaks it.","Post-speech crosstalk, no story movement."
K018,1,OPTIONAL,00:06:19:04,00:06:31:12,12.36,0.41,Man. Cooma is pretty cocky. It's supposed to be modest. You're a judoka. He has a premium blood in him.,'Kumar is pretty cocky. It's supposed to be modest. You're a judoka.' - short mascot joke.
X010,1,CUT,00:06:31:12,00:06:38:04,6.64,0.38,I remember that. Yeah. Oh my boy.,Crosstalk between the mascot joke and the speech debrief.
K019,1,MUST,00:06:38:04,00:06:55:16,17.52,0.83,"I practiced that speech so much. And then, like, take this part. I'll do this. Say this instead of that. And I was like, fuck. I got lost. I was like, once I guys, I'm lost. You missed your jokes. Ye…","The honest debrief: 'I practiced that speech so much... I got lost' / 'Remi put some jokes in there and everybody's too stressed, let's just start.' Best emotional beat of the act."
X011,1,CUT,00:06:55:16,00:06:59:10,3.76,0.36,"You know? Yeah, yeah. Where are you?",Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K020,1,SHOULD,00:06:59:10,00:07:06:09,6.98,0.62,"So are we. Are they starting right now? We're like, eight minutes late. Did they already send someone? Here.",The thing going wrong: 'Are they starting right now? We're like eight minutes late.'
X012,1,CUT,00:07:06:09,00:07:55:13,49.2,0.58,"Like you? Okay. All right. We're gonna start interviewing you. Okay. Do I just turn it on? Hey, it's it's it's on this one. Yes. Okay. It's also turned out. All right, so we're with the toshi otoshi…","First take of the judo athlete interview - aborted on camera with 'Retake, retake'. Keeping the clean last take at 7:56."
K030,2,MUST,00:07:55:13,00:08:27:00,31.52,0.82,"So I'm with the judo Toshi athletes. What's your connection with the premium group? He sponsors our judo club, and he's also the founder of our judo club. Yeah. Denny. Awesome. Thank you. So they're…",Judo athletes interview - the clean last take (the earlier take is cut per rule). Explains the club/sponsor link AND re-plants hole 12. Ends on 'They're my athletes. They're very annoying.'
X013,2,CUT,00:08:27:00,00:08:34:00,7.0,0.65,There we go. You want to get to turn around for. We'll do some videos.,Short connective crosstalk between kept beats - nothing said that the next beat does not carry.
K031,2,OPTIONAL,00:08:34:00,00:08:40:06,6.24,0.83,"Yeah. Like I'll throw them. I'll throw them. I can, I can mention I'm the judo coach. I don't get thrown.","'I can mention I'm the judo coach. I don't get thrown.' - funny, but the same joke lands harder in act 4."
X014,2,CUT,00:08:40:06,00:09:30:19,50.59,0.66,"So, like, what's happening right now? Tell me, like, our dads are all best friends. Yeah, you could have said that. They're all kind of hang out. They hang out the trio. They do. They do really cool…",Pre-interview setup and negotiating the question order. Setup already explained.
K032,2,MUST,00:09:30:19,00:10:05:03,34.36,0.89,"All right. So then why the golf tournament today? Well, why the golf tournament? It started with there was a convention, the FCC, a something that we attend each year. But this year it's in Halifax.…","Why this event exists, from the founder: a small golf game for the FCC convention that 'escalated into a full blown out tournament'. The premise of the whole video."
K033,2,OPTIONAL,00:10:05:16,00:10:45:12,39.88,0.86,"There you go. And why is it important for you to connect with clients, suppliers and other companies around us? Well, when we saw like, everybody wanted to chip in and everybody wanted to participate…","Why connecting with clients and suppliers matters. Genuine but corporate, and said better in the dinner speech."
K034,2,OPTIONAL,00:10:46:17,00:10:59:07,12.6,0.82,"Who's gonna win today. Hopefully my team. I don't know. No, we're not going to win. There's pretty. There's some pretty good golfers here, so I don't know what was going to win. We're just gonna have…","'Who's gonna win today?' / 'No, we're not going to win.' - nice modesty beat, expendable."
X015,2,CUT,00:10:59:07,00:11:15:04,15.88,0.75,"There you go. Anything else? We're here. That's good, that's good. Well. Thank you. Best of luck today. Thank you. Thank you. Enjoy the day, you guys. Thank you. And thanks for hosting this event. It…","Filler between kept beats: acknowledgements, half-sentences and logistics already visible on screen."
